epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds,error,auc_2000_2005,auc_2005_2010,auc_2010_2015,auc_2015_2020
5,30,3,30,64,15,0.700583636363029,0.009051528240467637,0.685791092517081,0.7086428645015311,4,1023.5152730941772,,0.7072123006637985,0.685791092517081,0.7006882877697055,0.7086428645015311
5,20,5,30,64,15,0.6989362971193754,0.009020935176448088,0.6841460756511897,0.7070677313077146,4,1040.9988985061646,,0.705304480713731,0.6841460756511897,0.6992269008048664,0.7070677313077146
5,20,3,30,64,15,0.6996456916187408,0.009067013354720014,0.6848117641032871,0.7078710952291758,4,664.6270570755005,,0.7060567172015246,0.6848117641032871,0.6998431899409755,0.7078710952291758
5,30,3,30,128,5,0.7020600541108534,0.00916137889828435,0.6870999164336448,0.7102713616182347,4,509.3038990497589,,0.7087298302260124,0.6870999164336448,0.7021391081655218,0.7102713616182347
5,20,5,30,128,5,0.6994717552710632,0.009161693806099207,0.6844851928999311,0.7079014173287639,4,514.4592332839966,,0.7057992879632196,0.6844851928999311,0.6997011228923378,0.7079014173287639
5,30,10,20,128,5,0.6992899875709425,0.008916578691036453,0.6847042871730498,0.7071230123268148,4,978.7412676811218,,0.705916191168213,0.6847042871730498,0.6994164596156923,0.7071230123268148
5,30,7,15,64,15,0.6980472893448326,0.008916536657197448,0.6834339309966486,0.7062115211683015,4,1108.2773613929749,,0.7041888685388324,0.6834339309966486,0.6983548366755479,0.7062115211683015
5,20,10,15,128,15,0.6973942727232798,0.00890431432691002,0.6827672889182861,0.7056352291777207,4,895.6093471050262,,0.70331625720759,0.6827672889182861,0.6978583155895223,0.7056352291777207
5,20,3,30,128,5,0.7002054343924203,0.009130958871019525,0.6853092172684696,0.7086525209381498,4,325.84639501571655,,0.7065486084494433,0.6853092172684696,0.7003113909136187,0.7086525209381498
5,40,7,20,128,5,0.7005371520204329,0.008898784658583113,0.6860300451158949,0.7084684714054419,4,1010.4478626251221,,0.7071243642644929,0.6860300451158949,0.7005257272959015,0.7084684714054419
5,40,5,15,64,15,0.698887253367933,0.008963172014741156,0.6841859897084305,0.7069655705106676,4,1140.1036493778229,,0.7052017033941728,0.6841859897084305,0.6991957498584614,0.7069655705106676
5,30,7,15,128,5,0.698175923341685,0.00902197247558535,0.6833905098705327,0.7065551948662584,4,545.5731823444366,,0.7042289047772138,0.6833905098705327,0.698529083852735,0.7065551948662584
5,30,3,30,128,10,0.7008284129598463,0.009103671405826597,0.6859546372911695,0.709097312861293,4,776.8606481552124,,0.7073003328270447,0.6859546372911695,0.7009613688598785,0.709097312861293
5,20,3,30,128,10,0.6997765922730815,0.009118764659512306,0.6848750431560646,0.7081717463831277,4,500.9902470111847,,0.7061043717847936,0.6848750431560646,0.69995520776834,0.7081717463831277
5,20,10,20,32,5,0.6979034490870053,0.008946471600008625,0.6832277048921158,0.7061005181816064,4,582.626300573349,,0.704023879434683,0.6832277048921158,0.6982616938396158,0.7061005181816064
5,20,5,30,128,10,0.6988835719249178,0.008962918888671751,0.6841692185394009,0.7070570791600386,4,787.3267116546631,,0.7050372145340411,0.6841692185394009,0.6992707754661907,0.7070570791600386
5,40,5,15,128,5,0.6996079640305976,0.009100868625368174,0.6847105511788675,0.707958936550766,4,557.8468914031982,,0.705898107026846,0.6847105511788675,0.6998642613659111,0.707958936550766
5,20,3,30,128,15,0.6997495788973482,0.009061413441160293,0.6849270829989366,0.7079987672777579,4,665.9774076938629,,0.7061246930130265,0.6849270829989366,0.6999477722996723,0.7079987672777579
5,30,7,15,128,10,0.6979764117667702,0.009017788002764251,0.6831996232148627,0.7063735796809985,4,840.1232030391693,,0.7040005044659766,0.6831996232148627,0.6983319397052431,0.7063735796809985
5,20,5,10,32,5,0.6974010449562552,0.008796751420239389,0.6829825082262988,0.7052654524890571,4,173.000018119812,,0.7037038268380849,0.6829825082262988,0.6976523922715799,0.7052654524890571
5,30,10,20,128,10,0.6989018055027642,0.008887286613831381,0.6844289961166957,0.7064111549806643,4,1499.2406775951385,,0.7059778382663304,0.6844289961166957,0.6987892326473659,0.7064111549806643
5,20,10,20,32,10,0.6977788964074612,0.008995152188099915,0.6830232699470399,0.7059301901954095,4,886.5829429626465,,0.7040534644550279,0.6830232699470399,0.6981086610323674,0.7059301901954095
5,30,3,30,128,15,0.7005691270868689,0.009109762001392192,0.6856784453711079,0.7087811380453436,4,1036.6569454669952,,0.707108400543328,0.6856784453711079,0.700708524387696,0.7087811380453436
